name,age,houseType,energyLevel,lifestyle,hasChildren,hasOtherPets,preferredType,adopterID,image,hasAllergy
Sarah,28,Apartment,6,Active,false,true,Cat,201,woman-Red-Hair.png,false
James,35,House,9,Active,true,false,Dog,202,man-Curly-2.png,false
Emily,22,Apartment,3,Lazy,false,false,Cat,203,woman-Curly.png,true
Michael,40,House,8,Active,true,true,Dog,204,man-Office-2.png,false
Sophia,31,House,5,Calm,false,true,Cat,205,woman-Beard.png,false
Daniel,26,Apartment,7,Active,false,false,Dog,206,prince.png,false
Alex,29,Apartment,6,Active,false,true,Dog,207,man-Bald.png,false
Jordan,34,House,8,Active,true,false,Cat,208,man-Office.png,false
Taylor,22,Apartment,4,Calm,false,false,Cat,209,woman-Cook.png,false
Casey,41,House,7,Active,true,true,Dog,210,woman-White-2.png,true
Morgan,30,Apartment,5,Calm,false,true,Cat,211,woman-Artist.png,false
Riley,26,House,9,Active,false,false,Dog,212,woman-White.png,false
Jamie,38,House,6,Active,true,false,Dog,213,woman-Cook-2.png,false
